id,distributor,page,raw,description,part_number,price,make,model,year_range,category,updated_at
7457f74206,Listado General Jefcar 2026,2,183001 BOTA CREMALLERA - MITSUBISHI MONTERO B/. 2 .75,BOTA CREMALLERA - MITSUBISHI MONTERO,183001,2.0,Mitsubishi,,,,2026-03-08T13:15:29.711056
98aadceefa,Listado General Jefcar 2026,2,900827 BOTA CREMALLERA - UNIVERSAL B/. 2 .50,BOTA CREMALLERA - UNIVERSAL,900827,2.0,,,,,2026-03-08T13:15:29.711070
9e1a88cc0e,Listado General Jefcar 2026,3,101843 CUBRE POLVO UNIVERSAL CON TOPE B/. 3 .80,CUBRE POLVO UNIVERSAL CON TOPE,101843,3.0,,,,,2026-03-08T13:15:29.711101
25c773eb06,Listado General Jefcar 2026,3,163002 CUBRE POLVO TRASERO NISSAN B/. 3 .80,CUBRE POLVO TRASERO NISSAN,163002,3.0,Nissan,,,,2026-03-08T13:15:29.711120
9310626fdf,Listado General Jefcar 2026,3,163003 CUBRE POLVO UNIVERSAL SIN TOPE B/. 2 .80,CUBRE POLVO UNIVERSAL SIN TOPE,163003,2.0,,,,,2026-03-08T13:15:29.711134
b01ed64b2a,Listado General Jefcar 2026,3,193401 CUBRE POLVO DELANTERO NISSAN SENTRA B/. 2 .80,CUBRE POLVO DELANTERO NISSAN SENTRA,193401,2.0,Nissan,,,,2026-03-08T13:15:29.711154
f56fab7b20,Listado General Jefcar 2026,3,1657 KIT DE INYECTOR TOYOTA B/. 4 .00,KIT DE INYECTOR TOYOTA,1657,4.0,Toyota,,,,2026-03-08T13:15:29.711184
88de18e80b,Listado General Jefcar 2026,3,5683 KIT DE INYECTOR HONDA B/. 4 .00,KIT DE INYECTOR HONDA,5683,4.0,Honda,,,,2026-03-08T13:15:29.711198
883336a417,Listado General Jefcar 2026,3,2580 KIT DE INYECTOR NISSAN B/. 4 .00,KIT DE INYECTOR NISSAN,2580,4.0,Nissan,,,,2026-03-08T13:15:29.711212
985a5b6069,Listado General Jefcar 2026,3,852 KIT DE INYECTOR MITSUBISHI B/. 4 .00,KIT DE INYECTOR MITSUBISHI,INYECTOR,4.0,Mitsubishi,,,,2026-03-08T13:15:29.711226
189a149add,Listado General Jefcar 2026,3,3167 KIT DE INYECTOR HYUNDAI B/. 4 .00,KIT DE INYECTOR HYUNDAI,3167,4.0,Hyundai,,,,2026-03-08T13:15:29.711240
86ba428115,Listado General Jefcar 2026,3,MP-84/12204-15050 PCV RECTA - TOYOTA/CHEVROLET B/. 1 .50,PCV RECTA - TOYOTA/CHEVROLET,12204-15050,1.0,Toyota,,,,2026-03-08T13:15:29.711265
51ec06f9e2,Listado General Jefcar 2026,3,MP-81/12204-11040 PCV EN L -TOYOTA/CHEVROLET B/. 1 .50,PCV EN L -TOYOTA/CHEVROLET,12204-11040,1.0,Toyota,,,,2026-03-08T13:15:29.711284
fdbffed6bc,Listado General Jefcar 2026,3,96991801 PCV ROSCA CHEVROLET/AVEO 1.4-1.6/OPTRA/SPARK GT 1.2 B/. 1 .50,PCV ROSCA CHEVROLET/AVEO 1.4-1.6/OPTRA/SPARK GT 1.2,96991801,1.0,Chevrolet,,,,2026-03-08T13:15:29.711303
237899be8d,Listado General Jefcar 2026,3,---- PCV ANTI RETORNO UNIVERSAL/ MAZADA/CHEVROLET/FORD/RENAULT B/. 1 .50,PCV ANTI RETORNO UNIVERSAL/ MAZADA/CHEVROLET/FORD/RENAULT,ANTI,1.0,Mazada,,,,2026-03-08T13:15:29.711317
b6ad9f3056,Listado General Jefcar 2026,3,94580183 PCV CHEVROLET-DAEWOO /SPARK-MATIZ B/. 1 .50,PCV CHEVROLET-DAEWOO /SPARK-MATIZ,94580183,1.0,Chevrolet,,,,2026-03-08T13:15:29.711335
f593f1cfff,Listado General Jefcar 2026,3,18118-53B00 PCV SUZUKI SWIFT 1.3/ VITARA 1.6/ TRAILBLAZER/WAGON B/. 1 .50,PCV SUZUKI SWIFT 1.3/ VITARA 1.6/ TRAILBLAZER/WAGON,18118-53B00,1.0,Suzuki,,,,2026-03-08T13:15:29.711348
d4c56d257a,Listado General Jefcar 2026,3,0K30E-13-890 PCV KIA KIO 01-05/1.5L/1.6L B/. 1 .50,PCV KIA KIO 01-05/1.5L/1.6L,0K30E-13-890,1.0,Kia,,,,2026-03-08T13:15:29.711362
51c0c0ccfa,Listado General Jefcar 2026,3,26740-32804 PCV HYUNDAI/KIA/ ELANTRA-ACCENT-CERATO-KIO-TUCSON-SONATA B/. 1 .50,PCV HYUNDAI/KIA/ ELANTRA-ACCENT-CERATO-KIO-TUCSON-SONATA,26740-32804,1.0,Hyundai,,,,2026-03-08T13:15:29.711378
bfa69086b7,Listado General Jefcar 2026,3,55160-1R000/B4000 BUJE DE PUENTE TRASERA HYUNDAI-KIA B/. 8 .00,BUJE DE PUENTE TRASERA HYUNDAI-KIA,55160-1R000/B4000,8.0,Hyundai,,,,2026-03-08T13:15:29.711402
eacc5d6de9,Listado General Jefcar 2026,3,57792-1Y500 CAUCHO CAJA DIRECCION PICANTO 11-17 B/. 3.50,CAUCHO CAJA DIRECCION PICANTO 11-17,57792-1Y500,3.5,,,,,2026-03-08T13:15:29.711425
e17b10d5b6,Listado General Jefcar 2026,3,45517-12111 CAUCHO CAJA DIRECCION COROLLA 00-07 B/. 3.50,CAUCHO CAJA DIRECCION COROLLA 00-07,45517-12111,3.5,Corolla,,,,2026-03-08T13:15:29.711448
5eec802240,Listado General Jefcar 2026,3,57792-2S100 CAUCHO CAJA DIRECCION HYUNDAI TUCSON 11-15 B/. 3.50,CAUCHO CAJA DIRECCION HYUNDAI TUCSON 11-15,57792-2S100,3.5,Hyundai,,,,2026-03-08T13:15:29.711466
7973a235c7,Listado General Jefcar 2026,3,56222-1C000 CAUCHO CAJA DIRECCION HYUNDAI B/. 3.50,CAUCHO CAJA DIRECCION HYUNDAI,56222-1C000,3.5,Hyundai,,,,2026-03-08T13:15:29.711482
488395fa65,Listado General Jefcar 2026,3,57789-2E000 CAUCHO CAJA DIRECCION KIA SPORTAGE-TUCSON 04-10 B/. 3.50,CAUCHO CAJA DIRECCION KIA SPORTAGE-TUCSON 04-10,57789-2E000,3.5,Kia,,,,2026-03-08T13:15:29.711498
becd1429a7,Listado General Jefcar 2026,3,45516-16060 CAUCHO CAJA DIRECCION COROLLA - TERCEL 89-99 B/. 3.50,CAUCHO CAJA DIRECCION COROLLA - TERCEL 89-99,45516-16060,3.5,Corolla,,,,2026-03-08T13:15:29.711515
